slug,name_en,name_ar,description_en,description_ar,collection,tier,family,intensity,longevity,sillage,top_notes_en,top_notes_ar,heart_notes_en,heart_notes_ar,base_notes_en,base_notes_ar,moods,occasions,is_featured,is_active,sku_50,price_50,stock_50,sku_100,price_100,stock_100,images
azur-infini,Azur Infini,أزور إنفيني,"A crisp, fresh opening dominated by bright citrus — a Mediterranean morning. The heart brings aquatic, slightly herbaceous notes evoking ocean spray, with a clean woody base and subtle amber.","افتتاحية منعشة مقرمشة يهيمن عليها الحمضيات المشرقة — صباحٌ متوسطي. يجلب القلب نوتات مائية عشبية قليلاً تستحضر رذاذ المحيط، مع قاعدة خشبية نظيفة وعنبر خفيف.",FRENCH,,AQUATIC,LIGHT,4,3,"Lemon,Bergamot,Grapefruit","ليمون,برغموت,جريب فروت","Rosemary,Seaweed,Water Notes","إكليل الجبل,أعشاب بحرية,نوتات مائية","Cedarwood,Oakmoss,Amber,Musk","خشب الأرز,طحلب البلوط,عنبر,مسك","FRESH,CALM","DAY,DAILY",false,true,JZ-AZI-50,179900,26,JZ-AZI-100,319900,18,
opale-feliniya,Opale Féliniya,أوبال فيلينيا,"An intriguing opening with floral osmanthus and sparkling citrus with a peppery edge. The heart reveals ripe peach and creamy tuberose layered with classic rose, warm and sensual with sandalwood and amber.","افتتاحية آسرة بأوسمانثوس زهري وحمضيات متلألئة بحافة فلفلية. يكشف القلب عن خوخ ناضج ومسك روم كريمي متطبّق مع ورد كلاسيكي، دافئ وحسّي بالصندل والعنبر.",FRENCH,SIGNATURE,FLORAL,IMPACTFUL,9,9,"Osmanthus,Mandarin,Pink Pepper","أوسمانثوس,يوسفي,فلفل وردي","Peach,Peony,Tuberose,Damask Rose","خوخ,الفاوانيا,مسك الروم,ورد دمشقي","Sandalwood,Musk,Amber,Patchouli","صندل,مسك,عنبر,باتشولي","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",false,true,JZ-OPF-50,209900,16,JZ-OPF-100,372900,11,
velvet-dates,Velvet Dates,فيلفيت ديتس,"A luscious, fruity opening featuring sweet dates and honey with warming spices. The heart reveals creamy date accord with subtle florals and caramel, finishing warm with amber and soft musk.","افتتاحية فاكهية شهية تبرز التمر والعسل مع توابل دافئة. يكشف القلب عن نفحة تمر كريمية مع زهور خفيفة وكراميل، يختم دافئاً بالعنبر والمسك الناعم.",ARABIC,,GOURMAND,MODERATE,6,5,"Dates,Honey,Spices","تمر,عسل,توابل","Florals,Date Accord,Caramel","زهور,نفحة التمر,كراميل","Amber,Musk,Sandalwood","عنبر,مسك,صندل","CALM,MYSTERIOUS","EVENING,SPECIAL",false,true,JZ-VDT-50,184500,24,JZ-VDT-100,294500,18,
velvet-brew,Velvet Brew,فيلفيت برو,"An aromatic, spiced opening featuring fragrant cardamom and rich coffee. The heart blends sweet dates with amber and subtle florals, finishing deep and mysterious with oud and agarwood.","افتتاحية عطرية متبّلة تبرز الهيل العطر والقهوة الغنية. يمزج القلب التمر الحلو بالعنبر والزهور الخفيفة، يختم عميقاً وغامضاً بالعود وخشب العود.",ARABIC,,ORIENTAL,IMPACTFUL,9,9,"Cardamom,Coffee,Spices","هيل,قهوة,توابل","Dates,Amber,Floral Notes","تمر,عنبر,نوتات زهرية","Agarwood,Oud,Musk","خشب العود,عود,مسك","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",true,true,JZ-VBR-50,207900,18,JZ-VBR-100,339900,12,
noor-al-yasmin,Noor Al-Yasmin,نور الياسمين,"A beautiful floral opening showcasing fresh jasmine and luminous white florals. The heart balances oud with delicate rose and iris, finishing warm and woody with sandalwood — poetic and sophisticated.","افتتاحية زهرية جميلة تُبرز الياسمين الطازج والزهور البيضاء المضيئة. يوازن القلب بين العود والورد الرقيق والسوسن، يختم دافئاً وخشبياً بالصندل — شاعري وراقٍ.",ARABIC,,FLORAL,MODERATE,6,5,"Jasmine,Floral Notes","ياسمين,نوتات زهرية","Oud,Rose,Iris","عود,ورد,سوسن","Sandalwood,Agarwood,Musk","صندل,خشب العود,مسك","CALM,CONFIDENT","DAY,EVENING",false,true,JZ-NAY-50,182900,22,JZ-NAY-100,321400,15,
embre-jazor,Embré Jazor,أمبريه جازور,"A rich, tactile opening of warm cardamom. The heart reveals smooth leather balanced beautifully with floral jasmine sambac, creating an intriguing contrast. The base is earthy with amber and patchouli.","افتتاحية غنية ملموسة بالهيل الدافئ. يكشف القلب عن جلد ناعم متوازن بجمال مع ياسمين سامباك الزهري، يخلق تبايناً آسراً. القاعدة ترابية بالعنبر والباتشولي.",ARABIC,DARK,ORIENTAL,MODERATE,6,5,"Cardamom","هيل","Leather,Jasmine Sambac","جلد,ياسمين سامباك","Amber,Moss,Patchouli","عنبر,طحلب,باتشولي","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",false,true,JZ-EMJ-50,169900,20,JZ-EMJ-100,269900,14,
oud-raafi,Oud Raafi,عود رافي,"An aromatic opening with rich agarwood oud and tart raspberry. The heart blooms with rose and warm benzoin, finishing with mysterious incense, saffron spice and leather — a Middle Eastern masterpiece.","افتتاحية عطرية بعود خشب العود الغني وتوت العليق الحامض. يتفتّح القلب بالورد والبنزوين الدافئ، يختم بالبخور الغامض وتوابل الزعفران والجلد — تحفة شرق أوسطية.",ARABIC,DARK,OUD,STRONG,8,7,"Agarwood,Raspberry","خشب العود,توت العليق","Rose,Benzoin","ورد,بنزوين","Incense,Saffron,Leather","بخور,زعفران,جلد","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",true,true,JZ-ORA-50,182900,18,JZ-ORA-100,289900,12,
alatef,Alatef,ألطف,"A spicy, warming opening with pepper and aromatic cardamom. The heart reveals precious oud with delicate rose and florals, creating an elegant complexity. The base is woody and sensual with agarwood and sandalwood.","افتتاحية متبّلة دافئة بالفلفل والهيل العطر. يكشف القلب عن عود ثمين مع ورد رقيق وزهور، يخلق تعقيداً أنيقاً. القاعدة خشبية وحسّية بخشب العود والصندل.",ARABIC,DARK,OUD,IMPACTFUL,9,9,"Pepper,Cinnamon,Cardamom","فلفل,قرفة,هيل","Oud,Rose,Floral Notes","عود,ورد,نوتات زهرية","Agarwood,Sandalwood,Musk","خشب العود,صندل,مسك","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",true,true,JZ-ALT-50,198500,16,JZ-ALT-100,318500,11,
jizaa-al-qadim,Jizaa Al-Qadim,جزاء القديم,"A powerful, aromatic opening of high-quality oud with warming spices. The heart is woody and complex with layered agarwood and subtle florals. The base is leather-rich with sandalwood and musk — prestigious and intensely masculine.","افتتاحية قوية عطرية بعود عالي الجودة مع توابل دافئة. القلب خشبي معقّد بخشب العود المتطبّق وزهور خفيفة. القاعدة غنية بالجلد مع الصندل والمسك — فاخر ومذكّر بقوة.",ARABIC,DARK,OUD,IMPACTFUL,9,9,"Oud,Spices,Cardamom","عود,توابل,هيل","Agarwood,Wood Notes,Florals","خشب العود,نوتات خشبية,زهور","Sandalwood,Leather,Musk","صندل,جلد,مسك","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",false,true,JZ-JAQ-50,198500,16,JZ-JAQ-100,318500,10,
oud-al-abyad,Oud Al-Abyad,العود الأبيض,"A distinctive opening of oud with intriguing purple fruit accords and warming spices. The heart reveals precious agarwood with iris and rose elegance. The base is rich leather with musk and sandalwood — a unique, daring dark fragrance.","افتتاحية مميّزة من العود مع نفحات فاكهة أرجوانية آسرة وتوابل دافئة. يكشف القلب عن خشب العود الثمين مع أناقة السوسن والورد. القاعدة جلد غني بالمسك والصندل — عطر داكن فريد وجريء.",ARABIC,DARK,OUD,STRONG,8,7,"Oud,Purple Accords,Spices","عود,نفحات أرجوانية,توابل","Agarwood,Iris,Rose","خشب العود,سوسن,ورد","Leather,Musk,Sandalwood","جلد,مسك,صندل","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",false,true,JZ-OAB-50,199900,16,JZ-OAB-100,322500,11,
oud-al-jazor,Oud Al Jazor,عود الجازور,"A powerful, immediately recognizable opening of high-quality oud with warm spices. The heart reveals layered agarwood complexity with rosy floral notes. The base is grounding with leather, musk and sandalwood — a bold, prestigious signature oud.","افتتاحية قوية معروفة فوراً من العود عالي الجودة مع توابل دافئة. يكشف القلب عن تعقيد خشب العود المتطبّق مع نوتات وردية زهرية. القاعدة راسخة بالجلد والمسك والصندل — عود توقيع جريء وفاخر.",ARABIC,SIGNATURE,OUD,IMPACTFUL,9,9,"Oud,Spices","عود,توابل","Agarwood,Rose,Oud","خشب العود,ورد,عود","Leather,Musk,Sandalwood","جلد,مسك,صندل","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",true,true,JZ-OAJ-50,214900,16,JZ-OAJ-100,364500,10,
ombre-silk,Ombré Silk,أومبريه سيلك,"A warm, inviting opening with sweet rum and citrus sparkle. The heart is creamy with warm chestnut and vanilla, accented by floral lavender. The base is smoky and woody with amber — sensual, wearable and deeply comforting.","افتتاحية دافئة جذّابة بالروم الحلو وتلألؤ الحمضيات. القلب كريمي بالكستناء الدافئ والفانيليا، يبرزه اللافندر الزهري. القاعدة مدخّنة وخشبية بالعنبر — حسّي وقابل للارتداء ومريح بعمق.",ARABIC,SIGNATURE,WOODY,MODERATE,6,5,"Rum,Bergamot,Fruity Notes","روم,برغموت,نوتات فاكهية","Lavender,Chestnut,Vanilla","لافندر,كستناء,فانيليا","Smoky Woods,Amber","أخشاب مدخنة,عنبر","CALM,CONFIDENT","DAY,EVENING",false,true,JZ-OMS-50,149900,24,JZ-OMS-100,239900,18,
saraya,Saraya,سرايا,"A creamy, gourmand opening with sweet almond tonka and vanilla. The heart is warm with cinnamon and clove spice, with a hint of caramel sweetness. The base is soft and sensual with sandalwood and musk — a cozy signature perfect for evening.","افتتاحية كريمية حلوة بلوز التونكا الحلو والفانيليا. القلب دافئ بتوابل القرفة والقرنفل، مع لمسة من حلاوة الكراميل. القاعدة ناعمة وحسّية بالصندل والمسك — توقيع دافئ مثالي للمساء.",ARABIC,SIGNATURE,GOURMAND,STRONG,8,7,"Tonka Bean,Almond,Vanilla","حبة التونكا,لوز,فانيليا","Cinnamon,Clove,Caramel","قرفة,قرنفل,كراميل","Sandalwood,Musk,Amber","صندل,مسك,عنبر","CALM,MYSTERIOUS","EVENING,SPECIAL",false,true,JZ-SAR-50,182900,18,JZ-SAR-100,324900,12,
oud-al-shams,Oud Al-Shams,عود الشمس,"A radiant opening of golden oud with warm spices and citrus brightness. The heart reveals precious agarwood with rosy warmth. The base is richly leather-accented with sensual musk — a prestigious, elegant signature oud.","افتتاحية مشرقة من العود الذهبي مع توابل دافئة وإشراقة حمضية. يكشف القلب عن خشب العود الثمين بدفء وردي. القاعدة غنية بلمسات الجلد مع مسك حسّي — عود توقيع فاخر وأنيق.",ARABIC,SIGNATURE,OUD,STRONG,8,7,"Oud,Spices,Citrus","عود,توابل,حمضيات","Agarwood,Rose,Woody Notes","خشب العود,ورد,نوتات خشبية","Leather,Musk,Sandalwood","جلد,مسك,صندل","MYSTERIOUS,CONFIDENT","EVENING,SPECIAL",true,true,JZ-OAS-50,176900,18,JZ-OAS-100,309900,12,
